"Timestamp","pos[0]","pos[1]","pos[2]","quat[0]","quat[1]","quat[2]","quat[3]","pos_var[0]","pos_var[1]","pos_var[2]","quat_var[0]","quat_var[1]","quat_var[2]","quat_var[3]","vel[0]","vel[1]","vel[2]","ang_vel[0]","ang_vel[1]","ang_vel[2]","accel[0]","accel[1]","accel[2]","top_button","bottom_button"
"16404052","0.026538271","-0.1270117","0.4535011","-0.16263105","-0.04220152","-0.9753345","0.14311324","1.6552129E-5","2.8289849E-5","3.3677177E-6","1.1196653E-7","4.1431936E-6","3.56299E-6","1.7896766E-5","0.040275726","0.040062804","0.0049783024","0.011231687","0.023060316","0.005878372","4.068887","0.26042822","-9.1585045","0","0"
"16409092","0.024115665","-0.12719274","0.45349795","-0.1627513","-0.041881084","-0.975347","0.14298385","1.6541391E-5","2.8429053E-5","3.356245E-6","1.1573775E-7","4.1199673E-6","3.5601333E-6","1.7896276E-5","0.03267539","0.039037276","0.005001924","0.010733806","0.023379479","0.0057736435","4.05637","0.26162988","-9.160666","0","0"
"16413892","0.022982346","-0.12735964","0.45368695","-0.16292535","-0.042038262","-0.9753427","0.1427936","1.5917865E-5","2.7797094E-5","3.2112314E-6","1.2623286E-7","4.1014478E-6","3.5432786E-6","1.782088E-5","0.031710804","0.03794317","0.0066497233","0.011521834","0.023684861","0.0061282325","4.0672293","0.26105762","-9.154446","0","0"
"16418932","0.023107344","-0.12741141","0.45373544","-0.16256371","-0.04225129","-0.97537905","0.14286955","1.599891E-5","2.786378E-5","3.237287E-6","1.3940553E-7","4.105079E-6","3.5243029E-6","1.7767601E-5","0.035744928","0.037305262","0.0066909576","0.010617621","0.023469768","0.0059334417","4.057838","0.25788057","-9.160645","0","0"
"16423972","0.023278235","-0.12715316","0.45393074","-0.16247694","-0.042425692","-0.97537726","0.14292857","1.6222908E-5","2.8015742E-5","3.291695E-6","1.4336138E-7","4.108744E-6","3.513801E-6","1.7731069E-5","0.039182898","0.037869997","0.007086473","0.0114357155","0.023037238","0.0059335595","4.067883","0.26500162","-9.153312","0","0"
"16429012","0.02363795","-0.12796648","0.45322466","-0.16264167","-0.042575","-0.97529685","0.14324841","1.633371E-5","2.8010862E-5","3.3399078E-6","1.4530633E-7","4.109288E-6","3.510584E-6","1.7677072E-5","0.042329226","0.035954345","0.0031393294","0.010784892","0.023170665","0.005845799","4.055885","0.2625377","-9.158996","0","0"
"16433812","0.023257758","-0.12878795","0.45301485","-0.16277972","-0.04252404","-0.97527486","0.1432548","1.4995434E-5","2.6303382E-5","3.0543831E-6","1.4159878E-7","4.085599E-6","3.5024245E-6","1.7489205E-5","0.04164008","0.03408832","0.0034727666","0.011002055","0.023328887","0.0060545057","4.0732617","0.25840068","-9.153419","0","0"
"16439332","0.022775311","-0.1294466","0.45279083","-0.1626812","-0.04238975","-0.9752829","0.14335254","1.508227E-5","2.6372052E-5","3.092235E-6","1.3979661E-7","4.081378E-6","3.5055969E-6","1.7454957E-5","0.04097219","0.03324217","0.0028857004","0.011239913","0.023688989","0.005800621","4.055595","0.25934765","-9.155491","0","0"
"16444132","0.023343345","-0.13010658","0.45264095","-0.1625142","-0.042526543","-0.97530013","0.14340779","1.4701116E-5","2.5864807E-5","3.0293768E-6","1.3814497E-7","4.072719E-6","3.5035046E-6","1.7385028E-5","0.044415183","0.032748472","0.0033606775","0.011615376","0.023206716","0.005863364","4.0646677","0.25961715","-9.157172","0","0"
"16449412","0.024138212","-0.12996146","0.45245576","-0.16244471","-0.042661846","-0.97528493","0.1435517","1.5626003E-5","2.6900687E-5","3.2488254E-6","1.3491126E-7","4.115886E-6","3.5382382E-6","1.7832484E-5","0.047884148","0.034214918","0.0020320616","0.011728032","0.02370384","0.0059451233","4.0593805","0.25950724","-9.158923","0","0"
"16454452","0.024313146","-0.12973447","0.4528592","-0.16273932","-0.042775035","-0.9752574","0.14334317","1.5386517E-5","2.6892141E-5","3.1788848E-6","1.2329974E-7","4.1124968E-6","3.5443213E-6","1.7784098E-5","0.047852352","0.03504118","0.005435878","0.011670838","0.02344364","0.0063267658","4.064539","0.26351354","-9.15395","0","0"
"16459732","0.023509411","-0.12925664","0.4531575","-0.16304319","-0.042656958","-0.9752224","0.14327341","1.6068505E-5","2.7842168E-5","3.3211827E-6","1.251019E-7","4.105702E-6","3.5419625E-6","1.7854687E-5","0.04395777","0.03642346","0.006021314","0.011450742","0.02351787","0.0059638205","4.0604587","0.26413047","-9.157755","0","0"
"16464772","0.022377942","-0.12918298","0.45299384","-0.16342278","-0.042542815","-0.9751568","0.14332128","1.6056143E-5","2.7895023E-5","3.3252336E-6","1.3300087E-7","4.107526E-6","3.5245162E-6","1.7813414E-5","0.04026304","0.03672885","0.0044646976","0.011158308","0.023261867","0.0060906885","4.0668955","0.2604511","-9.156037","0","0"
"16469812","0.021988034","-0.12882166","0.4532479","-0.16340809","-0.042544067","-0.9751635","0.1432775","1.6276726E-5","2.8045844E-5","3.3753372E-6","1.4023635E-7","4.1132917E-6","3.5087523E-6","1.7776709E-5","0.040499344","0.037747845","0.005757821","0.011375946","0.023623226","0.0058890926","4.057555","0.26025394","-9.157792","0","0"
"16474612","0.021789473","-0.12920651","0.45278555","-0.16336907","-0.0425269","-0.97513604","0.14353143","1.5706293E-5","2.7276908E-5","3.2397393E-6","1.4257421E-7","4.1085004E-6","3.4989189E-6","1.7654142E-5","0.040934056","0.036677692","0.0022189661","0.01146594","0.02321156","0.0060362364","4.065253","0.26045075","-9.15493","0","0"
